album,artist,genre,metascore,releasedate,userscore
Quicksand / Cradlesnakes,Califone,"Indie,Rock,Alt-Country",86,"Mar 18, 2003",8.8
You Forgot It In People,Broken Social Scene,"Indie,Rock",86,"Jun  3, 2003",8.9
Separation Sunday,The Hold Steady,"Indie,Rock",86,"May  3, 2005",8.7
The Decline Of British Sea Power,British Sea Power,"Indie,Rock",86,"Sep  9, 2003",8.8
Don't Give Up On Me,Solomon Burke,"Rock,Soul",85,"Jul 23, 2002",8.0
Robyn,Robyn,"Rock,Dance,Pop",86,"Apr 29, 2008",8.8
Process,Sampha,"Electronic,Club/Dance,Alternative Singer/Songwriter,Alternative R&B",86,"Feb  3, 2017",8.0
Holopaw,Holopaw,"Indie,Rock,Alt-Country",85,"Jan 21, 2003",7.9
Third,Portishead,"Rock,Electronic",85,"Apr 29, 2008",8.3
Malibu,Anderson Paak,"Rap,R&B",85,"Jan 15, 2016",8.5
So Beautiful or So What,Paul Simon,"Singer/Songwriter,Adult Contemporary,Pop/Rock,Contemporary Pop/Rock,Soft Rock",85,"Apr 12, 2011",8.2
Fires Within Fires,Neurosis,"Metal,Pop/Rock,Post-Metal",85,"Sep 23, 2016",7.3
Glass,Alva Noto,"Electronic,Classical",85,"Feb 16, 2018",7.6
"I'm Wide Awake, It's Morning",Bright Eyes,"Indie,Rock",85,"Jan 25, 2005",8.1
New Brigade,Iceage,"Pop/Rock,Alternative/Indie Rock,Indie Rock,New Wave/Post-Punk Revival,Experimental Rock,Hardcore Punk",85,"Jun 21, 2011",8.1
Mermaid Avenue: The Complete Sessions,Billy Bragg/Wilco,"Alternative Pop/Rock,Alternative Folk,Anti-Folk,Protest Songs",85,"Apr 21, 2012",8.0
Fox Confessor Brings The Flood,Neko Case,"Indie,Rock,Alt-Country",85,"Mar  7, 2006",8.8
Life...The Best Game In Town,Harvey Milk,"Rock,Experimental",85,"Jun  3, 2008",7.4
Party Music,The Coup,Rap,85,"Nov  6, 2001",8.2
50 Words for Snow,Kate Bush,"Pop/Rock,Alternative/Indie Rock,Alternative Pop/Rock",85,"Nov 21, 2011",8.4
Stranger to Stranger,Paul Simon,Pop/Rock,85,"Jun  3, 2016",7.9
Bedouine,Bedouine,"Pop/Rock,Alternative/Indie Rock",85,"Jun 23, 2017",7.5
Rook,Shearwater,"Indie,Rock",85,"Jun  3, 2008",8.6
Knock Knock,DJ Koze,Electronic,85,"May  4, 2018",8.0
BLACKsummers'night,Maxwell,"R&B,Soul",85,"Jul  7, 2009",8.7
The Agent Intellect,Protomartyr,"Pop/Rock,Alternative/Indie Rock",85,"Oct  9, 2015",8.1
When the Heart Emerges Glistening,Ambrose Akinmusire,"Jazz,Jazz Instrument,Post-Bop,Straight-Ahead Jazz",85,"Apr  5, 2011",tbd
The Mysterious Production Of Eggs,Andrew Bird,"Indie,Rock",85,"Feb  8, 2005",8.9
Spiral Shadow,Kylesa,"Pop/Rock,Alternative/Indie Rock,Alternative Pop/Rock,Heavy Metal",85,"Oct 26, 2010",7.6
Shaking the Habitual,The Knife,"Electronic,Pop/Rock,Alternative/Indie Rock,Club/Dance,Indie Electronic",85,"Apr  9, 2013",8.5
Poison Season,Destroyer,"Pop/Rock,Alternative/Indie Rock,Indie Rock,Indie Pop,Chamber Pop",86,"Aug 28, 2015",8.0
untitled unmastered.,Kendrick Lamar,Rap,86,"Mar  4, 2016",8.4
The Convincer,Nick Lowe,"Rock,Pop",86,"Sep 11, 2001",8.7
OST,24 Hour Party People,"Rock,Dance,Alternative,Soundtrack",86,"Aug  6, 2002",8.5
Haw,Hiss Golden Messenger,"Country,Americana,Pop/Rock,Alternative/Indie Rock,Alternative Singer/Songwriter,Alternative Country-Rock,Indie Folk",86,"Apr  2, 2013",8.3
The  Weird and Wonderful,The Marmozets,Pop/Rock,86,"Sep 29, 2014",8.5
The Intercontinentals,Bill Frisell,"Jazz,Folk,World",86,"Apr 15, 2003",tbd
Ocean's Eleven OST,David Holmes,"Rock,Pop,Electronic,Soundtrack",86,"Dec  4, 2001",8.4
Way Out Weather,Steve Gunn,"Folk,Pop/Rock,Alternative/Indie Rock",86,"Oct  7, 2014",8.5
All at Once,Screaming Females,Pop/Rock,86,"Feb 23, 2018",7.8
The Underside of Power,Algiers,"Pop/Rock,Alternative/Indie Rock",86,"Jun 23, 2017",7.9
Nerissimo,Teho Teardo,Pop/Rock,86,"Apr 22, 2016",7.2
L'Enfant Sauvage,Gojira,"Pop/Rock,Heavy Metal",86,"Jun 26, 2012",8.8
